question,answer,normalized_aliases,correctness
The flower convallaria is better known as what?," Lily of the Valley
","['convallaria prolificans', 'prolificans lily of valley', 'lily of valley', 'lilly of valley', 'c majalis', 'convallaria majalis', 'european lily of valley']",Correct
In which European country is the resort of Antibes known for Roman remains?," France
","['belle france', 'etymology of france', 'franciaország', 'la republique française', 'la france', 'france', 'climate of france', 'franciaorszag', 'la republique francaise', 'iso 3166 1 fr', 'france country', 'french republic', 'république francaise', 'republique française', 'la république francaise', 'fracne', 'rain in france', 'le france', 'république française', 'la république française', 'frankreich', 'republic of france', 'people of france', 'ranska', 'franse', 'republique francaise', 'frakkland']",Correct
Which battle began on 1st. July 1916?,"1st Battle of the Somme
","['battle of somme', 'battle of some', 'somme campaign', 'somme offensive', 'somme', 'battle of somme 1916', 'battle of beaumont hamel', 'somme 1916', 'first battle of somme']",Incorrect
Who was the World’s first Christian martyr?," St Stephen
","['st stephen', 'stephen saint', 'saint stephen', 'st steven', 'saint steven', 'st stephen martyr', 'apostle stephen', 'apostle stephen protomartyr', 'stephen martyr', 'stephen protomartyr']",Correct
"""A television film released by Disney Channel Original Movie in 2006 was """"High School ..."""" what?"""," Musical
","['musical disambiguation', 'musical']",Correct
The left and right ventricles and the left and right atriums are found where in the human body?," Heart
","['human heart', 'sternocostal surface of heart', 'heart chambers', 'facies diaphragmatica cordis', 'heart biology', 'base of heart', 'atlas of human cardiac anatomy', 'heart', 'heart food', 'sternocostal surface', 'right side of heart', 'left side of heart', 'facies sternocostalis cordis', 'heart metaphor', 'anterior surface of heart', 'basis cordis', 'diaphragmatic surface of heart', 'facies cordis', 'heart symbolism', 'heart organ', 'apex of heart', 'cardiac chamber', 'heart symbolism and metaphor', 'facies anterior cordis', 'cardiogenic', '❤️', 'heart in literature', 'dorsal tube', 'heart anatomy', 'apex cordis', 'chambers of heart', 'left heart', 'right heart', 'anterior wall of heart', 'systemic heart', 'cardiac', 'heart chamber', 'atria of heart', 'four chambered heart', 'cardiac chambers']",Correct
Which poet wrote 'The Raven'?," Edgar Allan Poe
","['edger allen poe', 'henri le rennet', 'poean', 'poe edgar allen', 'edgar alan poe', 'eddy is no more', 'edgar allan po', 'edgar allan poe s tales of mystery and terror', 'bostonian', 'edgar allan poe and stories he has written', 'poesque', 'e poe', 'poe', 'edgar allan poe', 'ea poe', 'edgar allen poe', 'life of edgar allan poe', 'literary influence of edgar allan poe', 'edgar alen poe', 'edgar allan poe s literary influence', 'edgar poe']",Correct
What U.S. state is known as the Lone Star state?," Texas
","['texas', 'religion in texas', 'texos', 'christianity in texas', 'texass', 'texas u s state', 'us tx', 'lake ozark texas', 'twenty eighth state', 'state of texas', 'lone star state', 'texas state', 'texas sized', '28th state', 'texas usa', 'texas united states', 'everything is bigger in texas']",Correct
What RAF squardron number was nicknamed The Dambusters?,"617
","['617', 'six hundred and seventeen']",Correct
"What name is given to the microscopic plants found in great numbers in rivers, lakes, and oceans?"," Algae
","['dha algal oil', 'pond scum', 'pondscum', 'algal proteins', 'algal', 'phyco', 'phycophyta', 'algae', 'filamentous algae', 'alga', 'algal groups', 'algæ']",Correct
Who won The X Factor 2013 ?," Sam Bailey
","['sam bailey singer', 'sam bailey', 'screwbo']",Correct
Which US Marine explorer discovered the wreck of the Titanic?," Robert Ballard
","['robert duane ballard', 'robert ballard', 'robert d ballard', 'bob ballard', 'robert 22bob 22 ballard']",Correct
"Playing on the title of another of the director's films, which 1984 movie starred Robert de Niro and James Woods as Jewish ghetto youths who rise to prominence in New York City's world of organised crime?","48 Hours
","['ouatia', 'once upon time in america']",Incorrect
Who was the only posthumous World Motor Racing Champion?,"1958 Italian Giuseppe Farina
",['jochen rindt'],Incorrect
"Miss Able and Miss Baker, the first living creatures to return alive to Earth from space, aboard the flight Jupiter AM-18 in 1959, were what type of animals?","2 monkeys
","['munkee', 'simian monkey', 'monkey animal', 'cambodian monkey', '🐒', '🐵', 'monkei', 'baby monkeys', 'monkey', 'monkeys', 'monkies', 'monkey s', 'service monkey']",Incorrect
The first cancellation to be used on British postage stamps in 1840 was of what form?,"1d black
","['maltese cross symbol', 'maltese cross', 'cross paty', 'amalfi cross']",Incorrect
"What is a Chinese-inspired meat dumpling-style snack food that normally consists of a large ball of pork or other meat, cabbage and flavourings, encased in a wrapper similar to that of a more traditional dumpling?"," Potsticker
","['dimmy', 'dimsims', 'dim sims', 'dimsim', 'dim sim']",Incorrect
The motto of which university is “Learn and Live”?,"	Yale
","['open uni', 'open university uk', 'open university', 'ou', 'centre for research on socio cultural change', 'open degree', 'open univesity', 'open university in wales', 'open university employees credit union', 'open university in ireland', 'open university business school', 'cresc']",Incorrect
What type of snake is a sidewinder?," Rattlesnake
","['rattlers', 'rattle snakes', 'rattlesnake', 'rattle snake', 'rattlesnakes', 'rattler']",Correct
"""Shakespeare's """"King Lear"""" is set in which country?"""," Britain
","['englaland', 'england uk', 'england s', 'engla rice', 'englistan', 'lloegr', 'england united kingdom', 'sasana', 'ingland', 'england', 'pow sows', 'engelond', 'starks field school', 'aengland', 'sasainn', 'languages of england', 'engla land', 'etymology of england', 'englnad', 'english nation', 'auld enemy', 'ænglaland', 'land of angles', 'england u k', 'aenglaland', 'name of england', 'ængland', 'anglica', 'uk england', 'life in england', 'ængla land']",Incorrect
Which former politician has been dubbed ‘Doris Karloff’?,"	Ann Widdecombe
","['anne widdecombe', 'ann noreen widdecombe', 'anne widdecomb', 'ann widdecombe versus prostitution', 'ann widdicombe', 'ann widdecombe']",Correct
"Which French realist painter, who lived from 1814 - 1875, specialised in peasant life?"," Millet
","['millet jean francois', 'jean millet', 'jean francois millet', 'millet jean françois', 'jean françois millet', 'j f millet']",Incorrect
Which record by Culture Club was the best-selling UK single of 1983?," Karma Chameleon
","['karma chameleon single', 'karma chameleon']",Correct
How many housing property squares are there on a Monopoly board?,"32
","['twenty two', '22']",Incorrect
In which city is the tomb of Saint Ignatius Loyola?," Rome
","['comune di roma', 'rome', 'rome lazio', 'capital of italy', 'roma italy', 'city of seven hills', 'rome republic and empire', 'roma italia', 'città eterna', 'demographics of rome', 'weather in rome', 'un locode itrom', 'capital city of italy', 'rome italy', 'city of rome', 'roma city', 'italian capital', 'symbols and trivia of rome', 'rōma']",Correct
"A symbol comprising three dots, which if joined form an upright equilateral triangle, represents what word?","3
","['logical entailment', 'syntactic consequence', 'therefore', 'logical consequence', 'logical consequence relation', 'logical implication', '⊧', 'entailment', 'logical conclusion', 'consequence relation', 'proof theoretic consequence', 'model theoretic consequence', 'follows from', 'derivability', 'semantic consequence']",Incorrect
Which ex heavyweight boxing champion's last ever fight took place on June 11th 2006 and ended in a defeat by Ireland's Kevin McBride in Washington DC?," Mike Tyson
","['mike g tyson', 'malik abdul aziz', 'michael tyson', 'michael gerard tyson', 'iron mike tyson', 'malik abdul azeez', 'desiree washington', 'exodus tyson', 'mike tyson']",Correct
"""Which female singer had a number 1 hit record with """"I'll never fall in love again""""which topped the charts in August 1969 ?"""," Dionne Warwick
","['bobbi gentry', 'bobby gentry', 'bobbie gentry']",Incorrect
"Alexandra, the Queen of Edward VII, was the daughter of the king of which country?"," Denmark
","['dinamarca', 'denmarc', 'danimarca', 'mainland denmark', 'denmarke', 'kingdom of denmark', 'danemark', 'danmoerk', 'denmark', 'danska', 'danmork', 'denemarke', 'media of denmark', 'iso 3166 1 dk', 'danish kingdom', 'daenemark', 'kingdomofdenmark', 'administrative divisions of denmark', 'dänemark', 'subdivisions of denmark', 'kongeriget danmark', 'danmörk', 'eastern denmark', 'denmark proper', 'media in denmark']",Correct
What was the name of the oil tanker that split into three after running aground off the coast of Brittany in 1978?," Amoco Cadiz
","['amoco cadiz', 'mv amaco cadiz', 'imo 7336422', 'mv amoco cadiz']",Correct
"Name the Soviet Russian orbiting space station, continuously occupied 1989-99 until its replacement by the International Space Station?"," Mir
","['space station mir', 'mir modules', 'mir', 'peter rodney llewellyn', 'mir module', 'mir space station', 'мир', 'mir in popular culture', 'mir orbital station']",Correct
"According to the fairy tale Cinderella, what vegetable gets turned into the carriage?"," Pumpkin
","['pumpkin farming', 'punkin', 'pumpkin', 'pumpkins', 'pumpkin cultivation', 'pumpkining']",Correct
If you are holding a musical instrument with F-holes what are you likely to be holding?," Violin
","['bowed strings', 'bowed', 'bowed instruments', 'bowed stringed instrument', 'bowed instrument', 'bowed string instrument']",Incorrect
"What is the name of the chief muscle used in breathing, which separates the thoracic cavity from the abdominal cavity?"," Diaphragm
","['diaphragm', 'diafragm', 'diaphragm disambiguation', 'diapragm', 'diafram', 'diaphram']",Correct
"""A """"mufti"""" is a legal expert in what religion?"""," Islam
","['islami', 'īslam', 'islamity', 'sulh e kul', 'islam concept', 'muslimanity', 'dietary laws in islam', 'musliminity', 'islamic', 'islaam', 'isalm', 'muhammadry', 'submission to god', 'islaamic', 'إسلام', 'al islam', 'islamick', 'islam', 'islam religion', 'islamic faith', 'followers of prophet muhammed', 'islam today', 'religion of islam', 'islām', 'islamry', 'الإسلام', 'islamic religion', 'ئیسلام', 'islamo', 'al islām']",Correct
"Which British group released the albums 'Pablo Honey', 'The Bands' and 'OK Computer' in the 1990s?"," Radiohead
","['dead air space', 'radiohead messageboard', 'on friday', 'radio head', 'xurbia xendless limited', 'manic hedgehog album', 'radiohead illustrated biography', 'follow me around', 'scott johnson drum technician', 'towering above rest', 'radiohead band', 'spooks song', 'radiohead style and songwriting', 'radiohead at ease', 'manic hedgehog demo tape', 'radiohead', 'manic hedgehog demo', 'rhmb']",Correct
What is the name of the orphan girl raised by Miss Havisham in ‘Great Expectations’?," Estella
","['estella', 'estella disambiguation']",Correct
What type of drink did the British take in India as ananti- malarial?," Gin and tonic
","['indian tonic water', 'tonic water', 'quinine water', 'toxic water']",Incorrect
"Who designed 'The Willow Tearooms' at 217 Sauchiehall Street, Glasgow?"," Mackintosh
","['rennie mackintosh', 'charles rennie mckintosh', 'charles renee mackintosh', 'charles rennie macintosh', 'rennie macintosh', 'mackintoshismus', 'rennie mckintosh', 'charles rennie mackintosh', 'rennie mcintosh']",Incorrect
In which town is the University of Ulster based?," Coleraine
","['list of secondary schools around coleraine', 'ballysally', 'kilrea primary school', 'coleraine', 'greenmount housing estate', 'cowlraine']",Correct
Which Greek philosopher lived in a tub?," Diogenes
","['diogenes', 'diogenes cynic', 'diogenes of sinope', 'diogenean', 'diogenes dog']",Correct
Who stars in the TV NHS black-comedy Getting On and has appeared on QI 29 times?," Jo Brand
","['what larks productions', 'jo brand', 'josephine 22jo 22 grace brand', 'josephine grace brand']",Correct
In which Shakespeare play does Dogberry appear?," Much Ado About Nothing
","['maan', 'governor leonato', 'benedick', 'borachio', 'much ado about nothing title', 'conrade', 'bendick and beatrice', 'much adoe about nothing', 'much ado about nothing']",Correct
I Which ocean liner rescued the majority of the Titanic's survivors?," Carpathia
","['carpathia fictional country', 'carpathia', 'carpathia disambiguation']",Correct
Former British surgeon Andrew Wakefield became famous in 1998 with his publication Of his research paper which claimed that the vaccine MMR was linked with which human condition ?," Autism
","['early infantile autism', 'childhood autism', 'autistic disorder', 'austism', 'medium functioning autism', 'classic autism', 'infantile autism', 'kannerian autism', 'early childhood autism', 'classical autism', 'authistic', 'autistic meltdown', 'low functioning autism', 'autism', 'history of autism', 'kanner s syndrome', 'kanner syndrome', 'autisim', 'authism']",Correct
What is the French for Wednesday?," Mercredi
",['mercredi'],Correct
"What influential American philosopher and author wrote the book 'Walden, or Life in the Woods'?"," Henry David Thoreau
","['henry david', 'david henry thoreau', 'henry d thoreau', 'henry david thoreau', 'h d thoreau', 'thoreau', 'henry david thoreu', 'h thoreau', 'david thoreau', 'thoreauvian', 'henry thoreau', 'thoreauan']",Correct
Bosintang/Boshintang (or Gaejangguk) is a Korean soup of declining popularity made chiefly of what meat?," Dog
","['dogs', 'doggie', 'doggy', 'dog', 'shedog', 'canis domesticus', 'she dogs', 'canis canis', 'canis lupus familiaris', 'canis familaris', 'female dogs', 'domestic dogs', 'c l familiaris', 'bitch dog', 'domestic dog', 'pet dog', 'man s best friend', 'canis familiaris domesticus', 'dogs animals', 'female dog', 'dogs as pets', 'dog pet', 'dog domestic', 'dogs as our pets', 'doggies', 'shedogs', 'canis familiaris', '🐶', 'doghood', 'canis familiarus domesticus', 'shelter dog', '🐕', 'dogness', 'domestic dog clade', 'bitch female dog', 'dog hood', 'she dog', 'canine lupus']",Correct
"Derived from Latin, what is the name of the pole used to propel and steer a punt?"," Oar
","['quant', 'quant disambiguation']",Incorrect
Harvard University is in Cambridge. True or false?," True
","['true song', 'true disambiguation', 'truer', 'true', 'true album']",Correct
What was the first name of British film producer J Arthur Rank?," Joseph
","['josey name', 'yuseif', 'يوسف', 'joseph', 'jazeps', 'ioseph', 'joseph biblical', 'guiseppe', 'joeseph', 'jospeh', 'yoseph', 'józef', 'joseph given name', 'joe given name', 'seosamh', 'joseph name', 'yôseph', 'yoseif', 'giuseppe', 'jāzeps', 'joe name', 'youssef']",Correct
Which film contains the line I'm going to cut your heart out with a spoon!,"2001: A Space Odyssey
","['peter dubois', 'robin hood prince of theives', 'robin hood prince of thieves', 'wild times', 'rh pot', 'prince of thieves', 'robin hood prince of thieves soundtrack', 'rhpot']",Incorrect
"What state, earlier known as the Bohemian Kingdom and part of the Austro-Hungarian Empire at the time of the Empire's dissolution at the end of World War I, was formed in 1918?"," Czechoslovakia
","['chekhoslovakia', 'tschechoslowakei', 'czechsolvakia', 'cesko slovensko', 'ceskoslovensko', 'czechoslavakia', 'czechoslovakia disambiguation', 'czechoslovakian', 'czecho slovakia', 'people s republic of czechoslovakia', 'chekoslovakia', 'czech', 'federation of czechoslovakia', 'czechoslovak', 'czechoslovakia', 'czechoslovaka', 'řčs', 'czecheslovakia', 'čsfr', 'czechosloavkia', 'czecho slovak', 'czechslovakia', 'czechoslavakian', 'checkeslovakia', 'checkoslovakia', 'tsjekkoslovakia', 'czechoslowakia', 'czecholslovakia', 'czechaslavakia', 'czeckeslovakia', 'chechoslovakia', 'czeckoslovakia', 'československo', 'česko slovensko', 'czech —']",Correct
"Due to the large number of languages used in the European Union, its anthem is purely instrumental. Despite this, the German lyrics from what work of Friedrich Schiller, connected to Beethoven, are often sung when the anthem is played?"," Ode To Joy
","['freude schöner götterfunken', 'song of joy', 'ode die freude', 'die freiheit', 'die freude schubert', 'to joy', 'die freude', 'ode to joy', 'd 189', 'die friede']",Correct
What was Mrs Fawlty's Christian name in the TV series Fawlty Towers ?,"	Polly
","['sybil film', 'sibyl given name', 'sybil', 'sibyl disambiguation', 'sibil', 'sybil disambiguation']",Incorrect
In which did the franc become the single currency in 1850?,"1860s
","['der schweiz', 'switzeland', 'confederation helvetia', 'confederatio helvetica', 'swissland', 'switzerland information', 'confederation suisse', 'switserland', 'confédération suisse', 'swizterland', 'confederation of helvatia', 'swizerland', 'svizzera', 'confederation helvetica', 'land of switzers', 'suiza', 'confederaziun svizra', 'schweiz', 'etymology of switzerland', 'die schweiz', 'suisse', 'confederazione svizzera', 'swiss', 'svizra', 'switzerland', 'schweitz', 'swiss confederation', 'switz', 'svissland', 'schwitzerland', 'environmental integrity group', 'land of swiss', 'schweizerische eidgenossenschaft', 'swissenergy', 'confœderatio helvetica', 'confoederatio helvetica', 'switzer land', 'švýcarsko', 'swiss confederated states', 'iso 3166 1 ch']",Incorrect
Ailurophobia is a fear of what?," Cats
","['cat', 'feline asocial aggression', 'tom cat', 'moggy', 'felis cattus domesticus', 'domestic cat', 'midnight crazies', 'felis catus domesticus', 'felis catus', 'f catus', 'pet cat', 'feline sexual behavior', 'evening crazies', 'felis silvestris catus', 'asocial aggression', 'felis silverstris catus', 'felis domesticus catus', 'domestic cats', 'cats', 'goyangi', 'housecat', 'common housecat', 'cat poison', 'felis sylvestris catus', 'goyang i', 'moggie', 'felix domesticus', '🐱', 'cat baths', 'domestic housecats', 'domestic feline', 'cat animal', 'domesticated cat', 'house cat', 'moggies', 'house cats', 'felis familiaris', '🐈', '😻', 'felis silvestris domesticus', 'cats have 9 lives', 'felis cattus', 'f domesticus', 'alley cat', 'housecats', 'felis domesticus']",Correct
In which year did the Munich Air Disaster happen?,"1958
","['1958', 'one thousand nine hundred and fifty eight']",Correct
What is the colour of the mineral cinnabar?," Red
","['red colour', 'incarnadined', 'reddened', 'aztec red', '255 0 0', 'color red', 'incarnadines', 'reddeners', 'reddens', 'raudur', 'firebrick red', 'incarnadine', 'redest', 'reddener', 'rauður', 'red political adjective', 'redly', 'reddishness', 'redness', 'red', 'reddest', 'red color', 'red movement', 'ff0000', 'redishness', 'rgb 255 0 0', 'reddishly', 'list of terms associated with color red', 'incarnadining', 'redishly']",Correct
"""In the words of the old song, """"My old man said 'Follow the van, and don't ... what ... On the way' """"?"""," dilly-dally
",['dilly dally'],Incorrect
What letter is two dot's in Morse code?,"1
","['l', 'el letter', 'ℓ', '⒧', '⅂', 'l letter', '🅻', '🄛', 'ⓛ', '5cell', 'ｌ', '🄻', '⅃', '🅛']",Incorrect
What is the SI unit of Pressure or Stress?,"1 Pascal
","['pascal disambiguation', 'pascal', 'pascal s']",Incorrect
Of which famous public school was Thomas Arnold headmaster from 1828 to 1842," Rugby
","['rugby disambiguation', 'rubgy', 'rugby']",Correct
What flavoring is used in the liqueur amaretto?," Almond
","['almond tree', 'almond bitter oil', 'prunus amygdalus dulcis', 'almendrado', 'marcona almonds', 'almond oil', 'luz nut', 'almond trees', 'oil of bitter almond', 'oleum amygdalae', 'almond', 'amygdalus fragilis', 'prunus amygdalus', 'baadaam', 'bitter almond', 'mandel nut', 'almonds', 'amygdalus communis', 'badam', 'bitter almonds', 'sweet almond oil', 'almond extract', 'amygdalus sativa', 'amygdalus dulcis', 'oil of bitter almonds', 'prunus dulcis', 'لوز', 'marcona almond', 'almond syrup', 'amygdalus amara', 'druparia amygdalus', 'toasted almond']",Correct
Viktor Orban aged 50 is the current Prime Minister of which country ?," Hungary
","['hungery', 'hungarian republic', 'hungary', 'hungría', 'hongrie', 'magyar köztársaság', 'hungarian holidays', 'magyar koeztarsasag', 'hungray', 'ungheria', 'maďarsko', 'hongarije', 'ungarn', 'austrian empire hungary', 'republic of hungary', 'iso 3166 1 hu', 'hungarian republic of 1989', 'magyar koztarsasag', 'magyarország', 'architecture of hungary', 'magyarorszag']",Correct
"""What industry is sometimes referred to as """"Madison Avenue""""?"""," Advertising
","['advertising', 'advertizements', 'advertizement', 'advertising materials', 'ethical advertising', 'advertise', 'insidious adverstising', 'ghost branding', 'list of advertising cliches', 'print ad', 'ghost ad', 'non traditional advertising', 'newspaper advertisement', 'types of advertising', 'promotional documents', 'contemporary advertising', 'list of advertising clichés', 'advertisers', 'newspaper advertising', 'alternative advertising', 'advertized', 'advertisements', 'coroporate propaganda', 'advertisement', 'pervasive advertising', 'adverts', 'manufactured demand', 'advertizing', 'advertising cliches', 'commercial advertisement', 'advertising material', 'commercial marketing', 'textual ads', 'adverted', 'billboard television', 'commericals', 'advertises', 'newspaper ad', 'glossy brochure', 'advertize', 'evolution of american advertising', 'newspaper advertisements', 'advertisment', 'commercial message', 'capitalist propaganda', 'advertising media', 'ad', 'advertizes', 'advert', 'advertiser', 'paid media', 'adverting', 'advertised']",Correct
Who had a top ten hit in 1998 with Vindaloo,"911
",['fat les'],Incorrect
What did George W Bush get from Tony Blair as a birthday present in 2006?,"250 DVDs of British TV shows
","['sweatshirt', 'sweater', 'pullover garment', 'sweaters', 'sweatshirts', 'v neck sweater']",Incorrect
"Based upon a 1987 historical fantasy novel by Tim Powers, what is the name and inspiration for the fourth installment of the Pirates of the Caribbean film series?"," On Stranger Tides, inspired by the historical figure Blackbeard.
",['on stranger tides'],Incorrect
"Since World War II, which United States President has been awarded a Nobel prize?"," Jimmy Carter
","['jimmie carter junior', 'jimmie carter jr', 'james earl carter jr', 'carter jimmie', 'jimi carter', 'james earl carter junior', 'james earl 22jimmie 22 carter junior', 'james e carter jr', 'james earle carter', 'jimmy carter junior', 'james earl 22jimmy 22 carter', 'james e carter', 'why not best', 'james earl 22jimmy 22 carter junior', 'jimmy carter jr', 'jimmy earl carter', 'carter james earl', 'jimmy carter', 'james 22jimmy 22 carter', 'james earl carter', 'james earl jimmy carter', 'jimmie carter', 'carter james earl 22jimmy 22', 'carter james earl 22jimmie 22', 'james earl 22jimmie 22 carter jr', 'carter jimmy', 'james earl 22jimmy 22 carter jr', 'president carter', 'president jimmy carter', '39th president of united states', 'james carter jr', 'jimmy e carter']",Correct
"Who plays Robert Crawley, Earl of Grantham in `Downton Abbey'?"," Hugh Bonneville
",['hugh bonneville'],Correct
"In the US television series ‘Spin City’, who played Randall Winston, the dim-witted Mayor of New York City?","	Alan Alda
",['barry bostwick'],Incorrect
Who sailed in the Nina - Pinta and Santa Maria?," Columbus
","['colon cristobal explorer', 'cristóvão colombo', 'cristoforo columbo', 'christofo columbo', 'admiral of ocean sea', 'cristopher columbus', 'topher columbus', 'columbus quincentennial', 'crostoforo colombo', 'columbus s', 'christophorus columbus', 'christovao columbo', 'cristoforo colubmo', 'christopher coloumbus', 'christopher columbus', 'colón cristóbal explorer', 'christoffa corombo', 'cristobol colon', 'cristopher colombus', 'christoper columbus', 'christopher columbus 1st voyage', 'christopher columb', 'chistopher colombus', 'cristovao colombo', 'cristoforo colombo', 'cristóbal colón', 'christopher colub', 'perceptions of columbus', 'christopher colombus', 'christobal colon']",Incorrect
Which country has won the most medals at the European Beach Volleyball Championship (later known as the Nestea European Championship Final) between 2000 and 2008 inclusive?," Switzerland
","['der schweiz', 'switzeland', 'confederation helvetia', 'confederatio helvetica', 'swissland', 'switzerland information', 'confederation suisse', 'switserland', 'confédération suisse', 'swizterland', 'confederation of helvatia', 'swizerland', 'svizzera', 'confederation helvetica', 'land of switzers', 'suiza', 'confederaziun svizra', 'schweiz', 'etymology of switzerland', 'die schweiz', 'suisse', 'confederazione svizzera', 'swiss', 'svizra', 'switzerland', 'schweitz', 'swiss confederation', 'switz', 'svissland', 'schwitzerland', 'environmental integrity group', 'land of swiss', 'schweizerische eidgenossenschaft', 'swissenergy', 'confœderatio helvetica', 'confoederatio helvetica', 'switzer land', 'švýcarsko', 'swiss confederated states', 'iso 3166 1 ch']",Correct
Who devised the TV series 'Citizen Smith'?," John Sullivan
","['john sullivan cricketer', 'john j sullivan', 'john sullivan footballer', 'john sullivan disambiguation', 'john j sullivan lawyer', 'john sullivan sailor', 'john sullivan', 'sullivan john']",Correct
Which George Bernard Shaw play centres around the Salvation Army?,"1905's Major Barbara
","['major barbara play', 'major barbara', 'barbara undershaft']",Incorrect
What is the total if you add the number shirts of the two flankers in rugby union?,"11
","['13', 'thirteen']",Incorrect
Which actor played Maxwell Smart?," Don Adams
","['adams don', 'don adams actor', 'donald yarmy', 'donald james yarmy', 'don adams', 'missed it by that much']",Correct
Who was the first unseeded tennis player to win the Wimbledon Men’s Finals?,"	 Goran Ivanisevic
","['angela ermakova', 'boris becker']",Incorrect
What is the alternative title of the WH Auden poem which begins 'Stop all the clocks ....'?,"1939
","['stop all clocks', 'funeral blues']",Incorrect
Had an eponymous show on MTV in 1999-2000; Had a short lived marriage to Drew Barrymore,"90210's Brian Austin Green
","['michael thomas green', 'leonard mills', 'cheese sondwich', 'mc face', 'mc bones', 'subway monkey hour', 'tom green']",Incorrect
From what is banana oil made?," Bananas
","['black gold liquid', 'petro diesel', 'petroleum accumulation', 'petrolium', 'petrolet', 'petroleum fuels', 'environmental effects of petroleum', 'all petroleum vehicle', 'petroleum generation', 'petroleum', 'medium fuel oil', 'used oil', 'brend blend', 'conventional oil', 'conventional vehicle', 'petroleum fuel', 'history of petroleum', 'vehicle fuel', 'gas distribution', 'petroleum car', 'patrolium', 'petroleum fuel vehicle', 'all petroleum', 'crude petroleum', 'pampetro', 'alternatives to petroleum', 'petroleum vehicle', 'raw petroleum', 'petrostate', 'petrofree', 'black gold oil', 'petroleum based fuel', 'petroholic', 'crude oil', 'fossil oil', 'pan petroliferous', 'petroplitics', 'petrofuel', 'world oil consumption', 'raw oil', 'petrol oil', 'petroleum maturation', 'petro state', 'formation of petroleum', 'liquid petroleum', 'oil enviromental impact', 'oil producing countries']",Incorrect
Where are the Indy Car races held?,"10 different US locations
","['inpolis city marion county in', 'inpolis city in', 'un locode usind', 'vogue place', 'indianapolis city marion county indiana', 'indianapolis indiana', 'indianapolis indiana usa', 'indianapolis', 'deep rock tunnel connector', 'city of indianapolis', 'list of monuments in indianapolis', 'indianapolis ind', 'indianapolis indiana u s', 'indianapolis city indiana', 'indianapolis indiana united states of america', 'indianapolis city marion county in', 'list of monuments in indianapolis indiana', 'indianapolis in', 'brightwood indianapolis', 'capital of indiana', 'indpls', 'indianapolis indiana us', 'indy in', 'indianapolis united states', 'indianapolis city in', 'indianápolis', 'indianapolis usa', 'speedy city', 'weather in indianapolis', 'inpolis in', 'hillside indianapolis']",Incorrect
Who is the Celtic sun-god?," Belenos
","['lug deity', 'lú', 'ildánach', 'lugh lamhfada', 'lamfhada', 'lugh lámhfhada', 'lúgh', 'lug god', 'lug lámfhota', 'samildanach', 'lug lamfhota', 'spear of lugh', 'lugh of long arm', 'samildánach', 'ildanach', 'lugh of long hand', 'lugh']",Incorrect
"What nationality was Bob Charles, winner of golf's British Open in 1963?"," New Zealander
","['newzealand', 'new zealand', 'aotearoa', 'kiwistan', 'new zeland', 'staten land', 'staten landt', 'neo zealand', 'new zeeland', 'mew zealand', 'new zealand s', 'new zealend', 'iso 3166 1 nz', 'nova zeelandia', 'aotearoa new zealand', 'nu tirani', 'subdivisions of new zealand', 'n zealand', 'new zealnd', 'new zealnad', 'new xealand', 'administrative divisions of new zealand', 'maoriland', 'nzl', 'niu tireni', 'new z', 'its got that new zeal', 'n z', 'name of new zealand', 'enzed', 'nz', 'new zaeland', 'new zelanad', 'sheepland', 'etymology of new zealand', 'kiwiland', 'māoria', 'staaten land', 'nouvelle zelande']",Incorrect
What to the Inuit people are mukluks?," Boots
","['work boots', 'boot', 'boots']",Correct
Former Spice Girl Melanie Chisholm dueted with which Canadian singer-songwriter on the 1998 single ‘When You’re Gone’?," Bryan Adams
","['groover from vancouver', 'bryan guy adams', 'bryan adams', 'zane puff', 'byran adams', 'adams bryan', 'brian adams singer', 'bryan guy adams oc obc']",Correct
In which English city did the Battle of Peterloo take place," Manchester
","['manchester uk', 'manchester city england', 'manchester u k', 'england manchester', 'manchester borough', 'manchester england', 'metropolitan borough of manchester', 'mancs', 'manchester greater manchester', 'climate of manchester', 'machester', 'manchester', 'drizzlechester', 'manchester developments', 'weather in manchester', 'manchester united kingdom', 'un locode gbmnc', 'county borough of manchester', 'city of manchester']",Correct
What in 1972 was the first animated film to receive an X-rating in the USA?,"2001: A Space Odyssey
","['r crumb s fritz cat', 'r crumb s fritz cat 3 big stories', 'fritz cat']",Incorrect
In which year did J. R. R. Tolkein die?,"1973
","['one thousand nine hundred and seventy three', '1973']",Correct
"In Greek mythology, who was the goddess of the rainbow?"," Iris
","['iris', 'iris band', 'iris song', 'iris disambiguation', 'iris genus']",Correct
If you carry a white stick with red lines on it what is your disability,"	Blindness
","['deafblind culture', 'blind deaf', 'deafblind', 'deaf and blind', 'blind and deaf', 'deaf blindness', 'deafblindness', 'deaf blind']",Incorrect
The world's largest diamond at 530 carats is 'The Star of Africa'. In which of the Crown Jewels can it be found?,"4th
","['sceptre', 'imperial sceptre', 'scepter', 'sceptor']",Incorrect
Who wrote the ballet 'The Three Cornered Hat' first performed in London in 1919?," Manuel de Falla
","['manuel de falla y matheu', 'manuel de falla', 'manuel maria de falla y matheu', 'nana music', 'manuel de fallas', 'ballets by manuel de falla', 'de falla', 'manuel falla']",Correct
