question,answer,logits,normalized_aliases
"What is the vivid blue semi-percious stone, historically mined in Afghanistan's Badakhshan province and prized by the ancient Egyptians, Mesopotamians, Greeks and Romans?"," Sapphire
","[[0.43014734983444214, 0.5698526501655579]]","['lapislazuli', 'lapis lazuli blue', 'lapis lazuli', 'lapis', 'lapislazuli blue', 'lapis lazuri']"
Harrisburg is the capital of which US state?," Pennsylvania
","[[0.45713672041893005, 0.5428633093833923]]","['oil state', 'pennsilvania', 'keystone state', 'pennylvania', 'epnnsylvania', 'economy of pennsylvania', 'pennsylvania united states', 'pennyslvania united states', 'penn s woods', 'pennsylvania', 'penn', 'us pa', 'pennsylvania united states of america', 'pennslyvania', 'pennsylvania u s state', 'penna', 'pennfylvania', 'religion in pennsylvania', 'cuisine of pennsylvania', 'state of pennsylvania', 'pennsylvana', '2nd state', 'transport in pennsylvania', 'pennsylvania state', 'coal state', 'pensylvania', 'commonwealth of pennsylvania', 'quaker state', 'pennsilfaani', 'pensylvaina', 'transportation in pennsylvania', 'pennsylvannia', 'demographics of pennsylvania', 'pa state', 'pencilvania', 'second state']"
"What placename derives from the twelfth and last of the Eleanor Crosses, erected 1291-1294 by Edward I in memory of his wife Eleanor of Castille?","12th
","[[0.10669060051441193, 0.8933094143867493]]","['charing t', 'center of london', 'charing london', 'charing cross london england', 'charing cross', 'centre of london', 'charng cross', 'charing x']"
What did the Romans call Ireland?," Hibernia
","[[0.6039317846298218, 0.39606812596321106]]","['hiberno', 'hibernia']"
"Which play includes the characters Lady Sneerwell, Sir Harry Bumper and Sir Peter Teazle?","1773
","[[0.3073580265045166, 0.6926419734954834]]","['mrs candour', 'school for scandal', 'lady teazle']"
Who gave Hampton Court Palace to Henry VIII as a gift in 1528?,"1st Duke of Richmond
","[[0.2782568037509918, 0.7217432260513306]]","['archbishop wolsey', 'cardinal thomas wolsey', 'cardinal woolsey', 'wolsey thomas', 'thomas wolsey', 'thomas cardinal wolsey', 'joan daundy', 'cardinal wosley', 'thomas wosley', 'thomas cardinal wosley', 'cardinal wolsey', 'thomas vii wolsey', 'wosley', 'wolsey', 'cardinal wolseley']"
"Blunging, Fettling, Saggar and Wedging are all terms used in which craft?"," Pottery
","[[0.6297746300697327, 0.3702253997325897]]","['art ware', 'pottery makers', 'ceramic wares', 'pot', 'ceramics', 'vase painting', 'ceramic paint', 'pot throwing', 'potterymaker', 'potterymaking', 'ceramicist', 'pottery', 'pottery maker', 'clay pot', 'art pottery', 'pottery manufacture', 'pottery and porcelain', 'pots', 'ceramic ware', 'coil pot', 'ceramics art', 'painted vase', 'making pot', 'ceramic pot', 'history of pottery', 'fine art pot', 'ceramicware', 'pottery making', 'potterymakers', 'clay pottery']"
Whereabouts in the human body is the zygomatic bone situated?," Face
","[[0.531209409236908, 0.4687906503677368]]","['cheeky cheeky and nosebleeds', 'cheek']"
The ancient Aztecs called it the testicle tree. What do we know it as?," Pine
","[[0.531209409236908, 0.4687906503677368]]","['avacada', 'persea americana', 'avocados', 'avocado cultivation in california', 'avacado pit', 'persea gratissima', 'avocado criollo', 'avokado', 'avocado pear', 'advocado', 'butter fruit', 'alligator pear', 'avocado', 'avacado', 'fuerte avocado', 'avocardo', 'avocodo']"
What sport is played by the Indiana Pacers," Basketball
","[[0.49218809604644775, 0.5078118443489075]]","['men s basketball', 'baksetball', 'baketball', 'boy s basketball', 'basketball club', 'high school basketball', 'rim basketball', 'basketball team', 'bball', 'unicycle basketball', 'basketball worldwide', 'shoot hoops', 'b ball', 'basketball', 'basketball net', 'women s hoops', 'basketball gear', 'basketballer', 'basket ball', 'basketball rim', '🏀', 'basketball parity worldwide', 'basketball player']"
In the original Beatles line-up who was the drummer?," Ringo
","[[0.25091278553009033, 0.7490872144699097]]","['randolph peter best', 'pete best', 'pete best discography', 'pete best four', 'best of beatles', 'pete best all stars', 'pete best band']"
"Which year saw the first ‘space tourist’ Dennis Tito, who paid a reported 20 million dollars to board the International Space Station?","2001
","[[0.30074557662010193, 0.6992543935775757]]","['2001', 'two thousand and one']"
"In information technology, for what does the L stand in LAN?"," Local
","[[0.6992543935775757, 0.30074557662010193]]","['localized', 'localised', 'local disambiguation', 'local']"
"Alphabetically, which is the last book of the New Testament?","2 Peter
","[[0.4148988425731659, 0.5851011276245117]]","['titus', 'titus disambiguation']"
"Ganesh, Murugan and their father Shiva feature in which religion?","3rd
","[[0.25683197379112244, 0.7431679368019104]]","['hindu', 'hindhu', 'shrimant', 'hinduists', 'hindus']"
Which South Pacific island nation became the first in the 21st century to change its driving on the road from right to left?,"2009
","[[0.30074557662010193, 0.6992543935775757]]","['samoa', 'west samoa', 'western samoa', 'independent state of western samoa', 'independent state of samoa', 'malo saʻoloto tutoʻatasi o sāmoa', 'malosi', 'malo sa oloto tuto atasi o sāmoa', 'sāmoa', 'iso 3166 1 ws', 'is samoa', 'languages of samoa']"
In which country is the Rugby Union World Cup due to be held in 2011?," New Zealand
","[[0.5, 0.5]]","['newzealand', 'new zealand', 'aotearoa', 'kiwistan', 'new zeland', 'staten land', 'staten landt', 'neo zealand', 'new zeeland', 'mew zealand', 'new zealand s', 'new zealend', 'iso 3166 1 nz', 'nova zeelandia', 'aotearoa new zealand', 'nu tirani', 'subdivisions of new zealand', 'n zealand', 'new zealnd', 'new zealnad', 'new xealand', 'administrative divisions of new zealand', 'maoriland', 'nzl', 'niu tireni', 'new z', 'its got that new zeal', 'n z', 'name of new zealand', 'enzed', 'nz', 'new zaeland', 'new zelanad', 'sheepland', 'etymology of new zealand', 'kiwiland', 'māoria', 'staaten land', 'nouvelle zelande']"
What was the name of the American space station?,"3001: A Space Odyssey
","[[0.18713268637657166, 0.8128673434257507]]","['skylab program', 'sky lab', 'skylab', 'skylab i', 'project skylab', 'skylab 5', 'skylab 1', 'skylab one']"
"""In the film """"Calamity Jane"""" staffing Doris Day, who was the owner of the Golden Garter saloon, mentioned in the song, """"The Deadwood Stage""""?""","1876
","[[0.2018132209777832, 0.7981867790222168]]","['henery miller', 'henry valentine miller', 'henry miller']"
"Named for a famous Chicago bartender, what is the common name for a drink that has been spiked with a drug, usually chloral hydrate, given to someone in order to incapacitate them?","40
","[[0.25683197379112244, 0.7431679368019104]]","['mickey finn disambiguation', 'mickey finn']"
"What is the surname of Aleksandr, the chief meerkat in the comparethemarket.com ads?","100
","[[0.22815649211406708, 0.7718434929847717]]","['orlova disambiguation', 'orlova', 'орлов', 'orlov', 'orlov disambiguation']"
Which US First Lady had an English Springer Spaniel called Millie?,"41st
","[[0.22270014882087708, 0.7772998809814453]]","['barbara bush first lady', 'barbra bush', 'barbara p bush', 'barbara pierce', 'barbara bush']"
What is the main currency unit of Hungary ?,"100 Forint
","[[0.5698526501655579, 0.43014734983444214]]","['forint', 'forints', 'hungarian forint', 'hungarian forints', 'hungary forint', 'forint sign']"
What childhood stories feature a young boy named Mowgli?,"1001 Nights
","[[0.18242551386356354, 0.8175744414329529]]","['jungle book 2015', 'jungle book', 'two jungle books', 'rudyard kipling s jungle book', 'jungle books', 'jungle book origins 2016', 'white seal']"
Who composed the music for the films 'Gandhi' and Satyajit Ray's revered 'Apu Trilogy'?," Ravi Shankar
","[[0.4532618224620819, 0.5467381477355957]]","['ravi sankar', 'sue jones ravi shankar', 'pandit ravi shankar', 'রবি শংকর', 'ravi shankar musician', 'ravi shanker', 'shankar ravi', 'pandit ravi', 'ravi shankar', 'ravi shankur']"
Who became the last state President of apartheid South Africa in August 1989?," State President F W de Klerk
","[[0.37937837839126587, 0.6206216216087341]]","['f w klerk', 'frederik willem de klerk', 'willem de klerk', 'f w deklerk', 'frederik de klerk', 'f w de klerk', 'frederik w de klerk', 'f de klerk', 'frederick de klerk', 'fw de klerk', 'president de klerk']"
George Tupou V was crowned monarch of which country in August 2008?," Tonga
","[[0.6150878667831421, 0.3849121630191803]]","['south country', 'tonga', 'iso 3166 1 to', 'makatusi', 'pule 60anga fakatu 60i 60o tonga', 'tongan rugby', 'kingdom of tonga', 'puleʻanga fakatuʻi ʻo tonga', 'friendly islands', 'matahau tonga', 'tonga archipelago', 'matahau', 'tongan community', 'etymology of tonga', 'pule anga fakatu i o tonga', 'pule anga fakatu i o']"
What was traditionally made by a Chandler?," Glass
","[[0.5544704794883728, 0.4455295503139496]]","['candlemaking', 'candle use', 'list of candle types', 'candlemaker', 'chandler profession candles', '🕯', 'candel', 'pillar candle', 'candles', 'carved candles', 'scented candles', 'candle']"
"In computing , for what does the acronym LAN stand ?"," Local Area Network
","[[0.6791787147521973, 0.3208213150501251]]","['local network', 'lan network', 'multiple lan distribution', 'local area network', 'lan troubleshooting', 'pc lan', 'hardware sharing', 'lan', 'local area network lan', 'local area networks', 'lan line', 'ping 0', 'local area networking', 'zero slot lan']"
"Which ballerina, born in Ireland, was the founder of the Sadler's Wells Ballet?"," Anna Pavlova
","[[0.3923368752002716, 0.6076632142066956]]","['dame ninette di valois', 'ballets by ninette de valois', 'dame ninette de valois', 'edris stannus', 'ninette de valois', 'de valois', 'dame ninette de valois om ch dbe']"
What colour is Santa Claus' belt?," Blue
","[[0.4378235340118408, 0.562176525592804]]","['blackishly', 'blackly', 'black color', '000000', 'black colour', 'ultimately dark', 'blackeness', 'blackest', 'color black', 'blackishness', 'black is not color', '0 0 0', 'black', 'rgb 0 0 0']"
Henrietta Maria was the French wife of which British monarch?,"17th century
","[[0.25091278553009033, 0.7490872144699097]]","['charles i disambiguation', 'charles i', 'charles first', 'king charles i', 'charles 1st', 'charles 1']"
Jasper National Park is in which country?," Canada
","[[0.5195213556289673, 0.4804787039756775]]","['canada s', 'canadá', 'ᑲᓇᑕ', 'čanada', 'canadaa', 'america s top hat', 'cnada', 'kenadian', 'xanada', 'canadian federation', 'iso 3166 1 ca', 'canadialand', 'canada', 'canada references', 'dominion of canada', 'commonwealth of canada', 'etymology of canada', 'canadiophile']"
"The Australian species of which bird has nature's largest bill, that can hold over 3 gallons?","1000-pound parrot
","[[0.3775406777858734, 0.622459352016449]]","['french ship pélican', 'pelican', 'pelican disambiguation']"
On what material was the Mona Lisa painted?,"100% Linen
","[[0.42250463366508484, 0.5774953365325928]]",['poplar wood']
What is the Celtic name for Edinburgh?," Edinburgh
","[[0.5078118443489075, 0.49218809604644775]]","['dunedin new zealand', 'dunedin nz', 'duneidn', 'new zealand dunedin', 'dunedin', 'dunedinite', 'ōtepoti', 'otepoti', 'duendin', 'dunedin otago']"
What is the name of the hotel in Heartburn Hotel,"1000 Ocean Front
","[[0.3557748794555664, 0.6442250609397888]]","['ss olympic', 'rms 1400 olympic', 'olympic', 'r m s olympic', 'hmt olympic', 'ss olympic 1911', 's s olympic', 'hms olympic', 'royal mail steamer olympic', 'herbert haddock', 'hmhs olympic', 'rms olympic']"
"Which Yorkshire city has two city-centre railway stations, Kirkgate and Westgate?"," Leeds
","[[0.2689414322376251, 0.7310585975646973]]","['merrie city', 'county borough of wakefield', 'calder grove west yorkshire', 'wakefield rural district', 'wakefield england', 'wakefield uk', 'wakefield', 'calder grove', 'wrangbrook', 'wakefield west yorkshire', 'wakefield yorkshire', 'merry city']"
Italian companies Ferretti and Azimut manufacture which luxury items?," Yachts
","[[0.5234203934669495, 0.4765796959400177]]","['yaugt', 'recreational boating', 'yatch', 'yachts', 'motor yachts', 'yacht', 'yacht ensign', 'sailing yacht', 'yaught', 'yachtsman', 'motor yacht', 'motoryacht', 'motor sailing yacht']"
What was the profession of Burt Reynolds' father?," Fireman
","[[0.5234203934669495, 0.4765796959400177]]","['police women', 'bobby police', 'police agents', 'officer of law', 'motorcycle cop', 'sbirro', 'policemen', 'police woman', 'policeofficers', 'zaptiah', 'police man', 'police officers', 'motor officer', 'police men', 'policeman', 'policewomen', 'police agent', 'policewoman', '👮', 'law enforcement personnel', 'special officer', 'becoming police officer', 'police officer', 'freezer duty', 'policeofficer']"
In which UK city are the headquarters of Asda?," Leeds
","[[0.4148988425731659, 0.5851011276245117]]","['higher education in leeds', 'st margarets primary school', 'leeds', 'leeds west yorkshire', 'leeds – bradford uk', 'st margarets school', 'shakespeare primary school', 'leodensian', 'leodis', 'un locode gblba', 'city of leeds transport area', 'leeds uk', 'knightsbridge of north', 'leeds england', 'weather in leeds', 'leeds yorkshire', 'st margaret s primary school horsforth']"
Which number on the Beaufort scale denotes a gentle breeze?,"1
","[[0.2689414322376251, 0.7310585975646973]]","['three', '3']"
During the second Sudanese war in which battle in September 1898 did General Kitchener inflict a crushing defeat on the Dervishes?,"2nd Battle of Omdurman
","[[0.24508501589298248, 0.7549149990081787]]","['umm durman', 'umm durmān', 'omdurman sudan', 'omdur', 'basheer mohamed saeed secondary school', 'omdurman', 'umdurman']"
"In cookery, which herb is the traditional main ingredient of pesto?"," Basil
","[[0.4532618224620819, 0.5467381477355957]]","['sweet basil', 'hot e', 'basil seeds', 'st joseph s wort', 'takmaria', 'subja', 'basil plant', 'ocymum basilicum', 'basilico', 'falooda seed', 'tukhamaria', 'basil herb', 'tukmaria', 'sabja', 'o basilicum', 'ocimum basilicum', 'falooda seeds', 'basil seed', 'basil', 'basil oil', 'hột é']"
What language did the Pennsylvania Dutch speak?," German
","[[0.562176525592804, 0.4378235340118408]]","['german', 'germans disambiguation', 'german disambiguation']"
"In World War I, the troops of New Zealand and what other country were formed into a single Army Corps called ANZACs?"," Australia
","[[0.36296921968460083, 0.6370307803153992]]","['australie', 'orstraya', 'federal australia', 'australias', 'empire of australia', 'modern australia', 'asutralia', 'iso 3166 1 au', 'australien', 'australia country', 'australia federation', 'austraila', 'country life in australia', 'philosophy in australia', 'australlia', 'continental australia', 'pax australiana', 'austrlaia', 'australia dominion', 'australian woman s day', 'australia monarchy', 'australia', 'australian country life', 'united states of australia', 'mainland australia', 'australia commonwealth', 'austalia', 'australija', 'australocentric', 'peace of australia', 'australia realm', 'ostralia', 'australocentrist', 'australian geopolitics', 'australia nation', 'australia commonwealth realm', 'australian', 'australian city life', 'australia empire', 'austraya', 'australiia', 'geopolitics of australia', 'australo', 'technology in australia', 'ausrtalia', 'australai', 'australia nation state', 'science in australia', 'dominion of australia', 'commonwealth of australia', 'australia state', 'aussieland', 'australian mainland', 'australian s', 'imperial australia', 'austrailia', 'city life in australia', 'austrlia', 'commonwealth australia', 'straya', 'australocentrism', 'australia s', 'australia constitutional monarchy', 'etymology of australia', 'australian commonwealth', 'new australian']"
In the Famous Five stories by Enid Blyton which of the children owns Timmy the dog?,"5th
","[[0.28776779770851135, 0.7122321724891663]]",['george or georgina']
"An integral part of the Old West wagon train, what did the chuck wagon carry?"," Supplies
","[[0.4148988425731659, 0.5851011276245117]]",['food and cooking equipment']
Where do basketball's Globetrotters supposedly hail from?,"1920s
","[[0.3345894515514374, 0.665410578250885]]","['harlem new york n y', 'harlem ny', 'new harlem', 'harlem new york', 'harlem', 'black harlem', 'central harlem', 'demographics of harlem', 'harlem new york city', 'vinegar hill manhattan', 'harlem manhattan']"
"What product is advertised with the slogan ""Life, liberty, and the Pursuit""?","1000 Island Dressing
","[[0.25091278553009033, 0.7490872144699097]]","['cadilac', 'cadillac motor company', 'cadillacs', 'cadillick', 'cadillac automobile', 'cadillac', 'cadillac automobile company', 'cadallac']"
Who played Heinrich Himmler in the 1976 film ‘The Eagle Has Landed’?," Richard Widmark
","[[0.2766905426979065, 0.7233095169067383]]","['donald henry pleasence', 'donald pleasence', 'donald pleasants', 'donald pleasance']"
From which country do Blue Mountain coffee beans come?," Jamaica
","[[0.531209409236908, 0.4687906503677368]]","['jamacian', 'america jamaica', 'xaymaca', 'jameca', 'indigenous peoples of jamaica', 'jamrock', 'xamayca', 'jamaica', 'name of jamaica', 'jamica', 'castleton botanical garden', 'iso 3166 1 jm', 'jamaica nation', 'jamiaca', 'jamaica country', 'castleton botanical gardens jamaica', 'jamaca', 'lambsriver westmoreland jamaica']"
How many Nobel Prizes are awarded each year?,"6
","[[0.3702253997325897, 0.6297746300697327]]","['six', '6']"
"In August 1960 Chad, in Central Africa, became independent from which country?"," France
","[[0.4882833957672119, 0.5117166042327881]]","['belle france', 'etymology of france', 'franciaország', 'la republique française', 'la france', 'france', 'climate of france', 'franciaorszag', 'la republique francaise', 'iso 3166 1 fr', 'france country', 'french republic', 'république francaise', 'republique française', 'la république francaise', 'fracne', 'rain in france', 'le france', 'république française', 'la république française', 'frankreich', 'republic of france', 'people of france', 'ranska', 'franse', 'republique francaise', 'frakkland']"
Who won the Princess Cup in 1997 with Monica Seles?,"1997
","[[0.13846179842948914, 0.8615382313728333]]","['anna kournicova', 'анна сергеевна курникова', 'annakournikova', 'anna kournikova', 'ánna sergéyevna kúrnikova', 'анна курникова', 'anna sergeyevna kournikova', 'anna kurnikova', 'kurnikova', 'anna sergeyevna kurnikova', 'kournikova']"
What is the name of the body of water that separates the Isle of Wight and mainland England?," Solent
","[[0.4843800961971283, 0.5156199336051941]]","['solent river', 'solent', 'solent valley']"
What was the name of Scrooge's long suffering clerk in a Christmas Carol?," Bob Cratchit
","[[0.596433162689209, 0.4035668671131134]]","['cratchit', 'bob cratchitt', 'bob cratchit', 'bob cratchet']"
Which team caused the first major upset in the Rugby World Cup when they beat Wales 16-13 in a pool match at Cardiff Arms Park in 1991?,"1991 Japan
","[[0.29746994376182556, 0.7025300860404968]]","['samoa', 'west samoa', 'western samoa', 'independent state of western samoa', 'independent state of samoa', 'malo saʻoloto tutoʻatasi o sāmoa', 'malosi', 'malo sa oloto tuto atasi o sāmoa', 'sāmoa', 'iso 3166 1 ws', 'is samoa', 'languages of samoa']"
By what name is the Collegiate Church of St Peter at Westminster better known?," Westminster Abbey
","[[0.562176525592804, 0.4378235340118408]]","['st peter s monastery westminster', 'st peter westminster', 'st edmund s chapel westminster abbey', 'st peter s church westminster', 'westminster palace westminster abbey and saint margaret s church', 'westminster abbey and st margaret s church westminster palace westminster abbey and saint margaret s church', 'collegiate church of st peter westminster', 'westmister abbey', 'collegiate church of st peter at westminster', 'abbey of westminster', 'westminister abby', 'westminister abbey', 'westminster abbey', 'st peter s westminster', 'westminster abby']"
Michel de Montaigne of France is best known for popularizing what kind of writing as a literary genre?," Essay
","[[0.7057850360870361, 0.29421496391296387]]","['essai', 'narrative essay', 'film essay', 'essay film', 'essay', 'philosophical essay', 'historical essay', 'essayic', 'narrative essays', 'humanities essays', 'familiar essay', 'psychology essay', 'essays', 'descriptive essay']"
Who painted 'Girl With A White Dog'found in the Tate London?," Picasso
","[[0.43014734983444214, 0.5698526501655579]]","['lucian freud', 'lucien freud', 'lucian freud painter', 'lucian michael freud']"
"Patented by it's inventor in 1916, what type of bed folds from the wall?","1916: Wall bed
","[[0.20689405500888824, 0.793105959892273]]","['fold down bed', 'william lawrence murphy', 'pull down bed', 'wall bed', 'murphy bed', 'wallbed', 'murphey bed']"
Which species of shark is the largest fish in the world?," Whale shark
","[[0.3486451804637909, 0.6513549089431763]]","['rhincodon', 'rhineodon typus', 'micristodus punctatus', 'rhinodontes', 'whale sharks', 'rhincodon typus', 'rhincodontidae', 'rhicodon typus', 'rhinodon typicus', 'rhinodon pentalineatus', 'butanding', 'rhincodontid', 'rhiniodon typus', 'whale shark']"
Which unit of weight is used to measure the fineness of nylon?,"1000s
","[[0.2018132209777832, 0.7981867790222168]]","['dennier', 'denier', 'deniers', 'denier disambiguation']"
What is the brightest star in the constellation Leo?,"1 Leo
","[[0.32766830921173096, 0.672331690788269]]","['alpha leonis disambiguation', 'alpha leonis', 'alpha leonis star', 'regulus', 'hd 87901', 'regulus astronomy', 'hip 49669']"
Which was the first Soviet Union republic to establish its independence when the Soviet Union was dissolving?,"1990
","[[0.3415825068950653, 0.6584175229072571]]","['lietova', 'second republic of lithuania', 'state of lithuania', 'republic of lithuania 1918 1940', 'lietuva', 'litauen', 'lituania', 'lithuania', 'iso 3166 1 lt', 'lithuenia', 'lietuvos respublika', 'littaw', 'first republic of lithuania', 'republic of lithuania 1918–1940', 'republic of lithuania', 'lituanie']"
"""Which American pop singer/songwriter who won the first season of the television series American Idol in 2002 won two Grammy Awards in 2006 - for her album """"Breakaway"""" and the single """"Since U Been Gone""""?"""," Kelly Clarkson
","[[0.5078118443489075, 0.49218809604644775]]","['clarkson kelly', 'ain t gonna like this', 'kelly clarkson', 'kelly blackstock', 'brandon blackstock', 'kellegend', 'kelly clarkson singer', 'go kelly clarkson song', 'kelly brianne clarkson', 'kellly clarkson', 'way i like it album', 'kelly clarkston', 'jekky', 'kelly clarkson album', 'kelly clarckson']"
"Vanessa Vankorn represented Thailand in a skiing event at the 2014 Winter Olympic Games, under what professional name is she better known?"," Vanessa Vanakorn
","[[0.4073334336280823, 0.5926666259765625]]","['vanessa mae vanakorn', 'vanessa vanakorn', '陳美', '陈美', 'vanessa mae vanakorn nicholson', 'vanessa mae', 'vanessa mae nicholson', 'vanessa nicholson', 'vanessa may']"
Who became the first woman to win a gold medal in boxing for GB in the 2012 Olympics?," Nicola Adams
","[[0.3208213150501251, 0.6791787147521973]]","['nicola adams', 'adams nicola']"
Which English novelist wrote 'The Rachel Papers' and 'Money'?,"1990s
","[[0.2628418505191803, 0.7371581792831421]]","['martin louis amis', 'hilly bardwell', 'hilary bardwell', 'bruno holbrook', 'martin amis', 'amis martin']"
"""Which town is """"celebrated"""" in the song """"Dirty Old Town""""?"""," Derry
","[[0.3702253997325897, 0.6297746300697327]]","['salford disambiguation', 'salford']"
Which group had a 1968 UK hit with Baby Come Back?,"1st Choice
","[[0.2628418505191803, 0.7371581792831421]]","['equals disambiguation', 'equal disambiguation', 'equals computing', 'equally', 'equals', 'equal']"
"Who topped the charts with ‘He’s Not Heavy, He’s My Brother’ in 1969?","5th Dimension
","[[0.30074557662010193, 0.6992543935775757]]","['hollies', 'hollys', 'l ransford']"
"""""""They also serve who only stand and wait"""" is the last line of a sonnet by which English poet ?"""," Shakespeare
","[[0.5389832258224487, 0.46101677417755127]]","['miltonists', 'j milton', 'joannis miltoni', 'miltonesque', 'milton john', 'post miltonic', 'miltonic', 'giovanni milton', 'miltonian', 'katherine woodcock', 'fleecy star', 'john milton', 'milton j', 'miltonist']"
"""Which American revolutionary leader wrote the influential pamphlet """"Common Sense"""" in 1776?"""," Thomas Paine
","[[0.46101677417755127, 0.5389832258224487]]","['thomas paine', 'paine thomas', 'thomas pain', 'tom paine', 't paine']"
"The Wright Brothers' first powered flight, in 1903, took place where?","12th Street, Kitty Hawk, North Carolina
","[[0.4532618224620819, 0.5467381477355957]]","['kitty hawk', 'kitty hawk disambiguation', 'kittyhawk']"
"Which river rises on the Tibetan Plateau, flows northwest and then south and southwest to enter the Arabian Gulf in the Seven Rivers area south of Karachi?","1924
","[[0.19436781108379364, 0.8056321740150452]]","['lion river', 'riv indus', 'حندو', 'satnad', 'सिन्धु', 'سندھ', 'ινδός', 'abaseen', 'river sindh', 'abasin', 'shindhu', 'river sindhu', 'sindhu', 'سنڌو', 'yìndù', 'indus', 'indos', 'indus valley', 'indus basin', 'indus river valley', 'sinthos', 'indus river', 'indus river basin', 'abbasin', 'ّآباسن', 'abasyn', 'river indus', 'sindhu river', 'satnad river', 'father of rivers']"
Who wrote The Origin of Species in 1859?," Darwin
","[[0.4263215959072113, 0.5736784338951111]]","['cr darwin', 'darwin200', 'darwin 200', 'charles robert darwin', 'darwin s theory', 'charles r darwin', 'charels darwin', 'mary darwin', 'www darwin200 org uk', 'c r darwin', 'chuck darwin', 'charles darwin', 'darwin charles', 'darwin s', 'charlesdarwin', 'charles darwin s', 'c darwin']"
In the TV series Frasier who played the part of Daphne Moon?," Jane Leeves
","[[0.4532618224620819, 0.5467381477355957]]","['jane leeves', 'jane leaves', 'leeves']"
Which TV sitcom featured Ben and Susan Harper and their three children?,"8 Simple Rules
","[[0.3208213150501251, 0.6791787147521973]]","['serpent s tooth', 'my family', 'my family television', 'jim armogida', 'steve armogida', 'my family bbc comedy']"
Qualcomm stadium is the home to what NFL team?,"49ers
","[[0.3073580265045166, 0.6926419734954834]]","['san diego chargers depth chart', 'san diego chargers', 'charger s', 'chargers', 'sd chargers', 'los angeles chargers', 'san diego changers', 'logos and uniforms of san diego chargers']"
Painter and engraver Sir Edwin Henry Landseer was a favourite artist of which British monarch?," Queen Victoria
","[[0.46101677417755127, 0.5389832258224487]]","['victoria queen of great britain', 'alexandrina victoria von wettin née hanover', 'queen victoria i', 'diamond jubilee of queen victoria', 'we are not amused', 'queen victoria i of united kingdom', 'victoria queen of england', 'victoria i of united kingdom', 'victoria of united kingdom', 'victoria of scotland', 'queen victoria of england', 'victoria regina', 'victoria of great britain and ireland', 'alexandrina victoria von wettin', 'victoria of great britain', 'queen victoria s diamond jubilee', 'alexandrina victoria von wettin nee hanover', 'grandmother of europe', 'alexandrina victoria', 'victoria wettin', 'victoria of united kingdom 1819 1901', 'victoria of britain', 'victoria queen', 'queen alexandrina victoria', 'queen victoria of united kingdom', 'william hamilton criminal', 'victoria of uk', 'her britannic majesty queen victoria', 'list of titles and honours of queen victoria', 'victoria queen of united kingdom', 'victoria of india', 'victoria i', 'queen victoria', 'wedding of queen victoria and prince albert of saxe coburg and gotha', 'victoria of england', 'queen victoria died 1901']"
"""In the term """"Valley Girl"""", what valley is being referred to?""","101
","[[0.2120688110589981, 0.7879312038421631]]","['san fernando disambiguation', 'san fernando city', 'san fernando']"
"""Which classical singer sang the theme song """"Where My Heart Will Take Me"""", for the TV series, """"Enterprise""""?"""," Jose James
","[[0.3345894515514374, 0.665410578250885]]",['russell watson']
David Mitchell is married to which TV quiz presenter and journalist ?,"1990s
","[[0.2782568037509918, 0.7217432260513306]]","['vicky coren', 'victoria coren', 'victoria coren mitchell']"
How many events are in a tetrathlon?,"4
","[[0.39981159567832947, 0.6001883149147034]]","['four', '4']"
"Paul McCartney, and supposedly inspiration for a Beatles song/song title?","18th century poet Mary Wollstonecraft
","[[0.3208213150501251, 0.6791787147521973]]","['saint marthe', 'martha of bethany', 'martha biblical figure', 'martha']"
What is the Sunday before Easter called,"2nd Sunday of Easter
","[[0.4532618224620819, 0.5467381477355957]]","['fir sunday', 'jesus on donkey', 'branch sunday', 'palm sundays', 'yew sunday', 'palm sunday', 'flowery sunday']"
Who is known as The Father of Television?," Philo Farnsworth
","[[0.46101677417755127, 0.5389832258224487]]","['john logie baird centre', 'baird television ltd', 'john logie baird ltd', 'logie baird', 'john l baird', 'electromechanical tv', 'john logie baird']"
Which Irish author was Sir Henry Irving's business manager?," Oscar Wilde
","[[0.4378235340118408, 0.562176525592804]]","['abraham 22bram 22 stoker', 'biography abraham stoker', 'stoker bram', 'abraham stoker', 'bram stoker']"
Benjamin Briggs was captain of which famous ship?,"1805
","[[0.15203224122524261, 0.847967803478241]]","['mary celeste', 'marie céleste', 'mary celest', 'mary celeste in popular culture', 'amazon brigantine', 'marie celeste']"
Which actor provides the voice of Po the Kung Fu Panda in the two films in the series?," Jack Black
","[[0.5195213556289673, 0.4804787039756775]]","['jack black', 'jack black actor', 'black jack', 'black white productions', 'jables', 'thomas jacob black', 'jack black filmography']"
The second full moon occurring within a calendar month is known as a ‘what’ Moon?," Blue
","[[0.622459352016449, 0.3775406777858734]]",['blue moon']
Which (liquid) foodstuff has the chemical formula CH3COOH?," Vinegar
","[[0.6039317846298218, 0.39606812596321106]]","['fruit vinegar', '🜊', 'vineger', 'sukang iloko', 'vingar', 'spirit vinegar', 'cane vinegar', 'vinager', 'beer vinegar', 'thieves vinegar', 'aceto', 'vineager', 'chili vinegar', 'malt vinegar', 'wine vinegar', 'persimmon vinegar', 'vinegar', 'honey vinegar', 'white vinegar', '🜌', 'red wine vinegar', 'sour wine', '🜋', 'vinegars', 'alegar', 'coconut vinegar']"
How many humps would you find on a dromedary camel?,"1
","[[0.3073580265045166, 0.6926419734954834]]","['one company', 'one']"
