question,answer,normalized_aliases
"Known as the Beaver State, what was the 33rd state to join the Union on Feb 14, 1859?"," Oregon
","['oregon united states', 'regions of oregon', 'oregon state', 'oregon usa', 'state of oregon', 'oregon', 'oregón', '33rd state', 'oregon s', 'us or', 'demographics of oregon', 'sports in oregon', 'ore', 'oregon u s state', 'education in oregon', 'thirty third state', 'beaver state', 'oregroun', 'geography of oregon']"
Which Conservative Party Club in London was damaged by an IRA bomb in 1960?,"221B Baker Street
",['carlton club']
The James Joyce novel Ulysses is set on one day in Dublin in 1904 in which month,"6th
","['june', 'jun', '㋅', 'june 31', 'junes', 'june 31st', 'juno german']"
"""Who composed the music for the 1937 ballet """"Checkmate""""?"""," George Gershwin
","['arthur edward drummond bliss', 'sir arthur bliss', 'arthur bliss', 'sir arthur edward drummond bliss', 'bliss sir arthur edward drummond']"
"""Rimsky-Korsakov named a piece of music """"The Flight of the ..."""" what?"""," Bumblebee
","['maruhanabachi', 'bumblekite', 'bombous', 'bumble bee', 'humblebee', 'bombus', 'bumble bee paradox', 'bombini bombus', 'bombinae', 'bumblebee', 'humble bee', 'bumblebees']"
"""The song """"Ol' Man River"""" from the 1927 musical """"Showboat"""" was sung most famously by Paul Robeson. To which river does it refer?"""," Mississippi
","['river colbert', 'mississippi river watershed', 'river of immaculate conception', 'mississippi basin', 'rio misisipi', 'mississipi river', 'father of waters', 'río misisipi', 'mississippi river', 'rio de espiritu santo', 'mississippi valley', 'mississippi watershed', 'mississippi river basin', 'big muddy', 'mississippi', 'misisipi river', 'river mississippi', 'mississippi river united states', 'mississippi missouri', 'mississippi river missouri river', 'missippi river', 'missisippi river', 'mizzipy']"
What is the name of the actress who is the mother of actor Rupert Penry-Jones?,"
",['angela thorne']
"In Virgil's Aeneid, who was the Queen of Carthage who fell in love with Aeneas?"," Dido
","['dido', 'dido queen', 'queen of carthage', 'dido of carthage', 'elissar', 'dido queen of carthage']"
Later in 1961 George Martin produced “My Boomerang Won’t Come Back”. Which comedian and actor was the singer on the record?," Peter Sellers
","['charles edward springall', 'mick and montmorency', 'charles springall', 'charlie drake']"
What is the young of a kangaroo called?," Joey
","['joey disambiguation', 'joey film', 'joey', 'joey song']"
Name the 14 year old boy who dived for Britain at the 2008 Olympic games?,"14 year old Tom Daley
","['diver tom daley', 'tom daley', 'tom daly platform diver', 'thomas daley diver', 'rob daley', 'tom daley diver']"
Which 1965 Beatles song was re-released in 1989 by Bananarama in aid of Comic relief?,"8th
","['help project', 'help disambiguation', 'help television', 'help', 'i need help', 'helpme']"
Pierre Omidyar founded which internet company?,"1995
","['ebay om', 'ebay ch', 'ebay com cn', 'ebay com sg', 'buyitnow', 'ebay it', 'ebay es', 'ebayy', 'collection lot', 'ebay live', 'ebay ie', 'ebay de', 'ebay cm', 'ebaycom', 'ebay com hk', 'ebay com', 'e bay', 'ebay motors', 'ebay auctioning', 'ebay fraud', 'ebay ph', 'ebay com au', 'auctionweb', 'ebay online auction', 'feebay', 'ebay shop', 'ebay com my', 'buy it now', 'ebay website', 'ebay ca', 'sekaimon', 'i love ebay', 'ebay inc', 'ebay marketplace', 'ebay c', 'eebay', 'ebay nl', 'ebay developers program', 'ebay plc', 'baazee com', 'ebay at', 'www ebay com', 'ebaymotors', 'ebay online', 'ebay fr', 'ebay be', 'ebay co uk', 'ebay in', 'myebay', 'ebay pl', 'ebay site', 'my ebay', 'ebay toolbar', 'ebay auctions', 'www ebay co uk', 'ebaying', 'mobile de', 'ebay', 'ebay store', 'l k', 'eachnet', 'ebay co']"
What original Mrs Beeton sandwich filling did the Royal Society of Chemistry propose in 2014 as the most economically enjoyable?,"19th century beef stew
","['toast', 'cinnamon toast', 'toasted', 'toasts', 'toasted bread', 'rôtie', 'brown toast', 'buttered toast', 'rotie']"
Who said (when speaking of cars) you can have any colour you want as long as its black," Henry Ford
","['ford henry', 'fordian', 'henry ford i', 'henry ford', 'henry ford first', 'henry ford sr', 'ford person', '5 day', 'five dollar day']"
"Who was the nephew of Emperor Franz Joseph of Austria and heir to the throne, who renounced his childrens right to succession in order to make a morganatic marriage with Countess Sophie Chotek and was assassinated with her in Bosnia in 1914?"," Archduke Franz Ferdinand
","['franz firdinand', 'franz ferdinand karl ludwig josef von habsburg lothringen', 'archduke franzis ferdinand', 'franz ferdinand archduke', 'franz ferdinand of austria este', 'archduke franz ferninard of austria', 'franz ferdinand', 'franz habsburg', 'archduke franz ferdinand of austria', 'arch duke ferdinand', 'franz ferdinand of austria', 'franz ferdinand archduke of austria', 'archduke of austria este francis ferdinand', 'archduke franz ferdinand', 'archudke francis ferdinand', 'francis ferdinand', 'francis ferdinand of habsburg', 'francis ferdinand archduke of austria', 'archduke francis ferdinand', 'archduke francis ferdinand of austria']"
Which composer wrote the World’s first football chant?,"1890s
","['sir edward william elgar 1st baronet', 'edward elgar', 'elgar edward', 'ballets by edward elgar', 'sir edward william elgar', 'edward william elgar', 'elgar', 'sir edward william elgar 1st baronet om gcvo', 'sir edward elgar 1st baronet', 'he banged leather for goal', 'elgar baronets', 'sir edward elgar']"
What is the name of the fictitious brewery that supplies the 'Rovers Return' in 'Coronation Street'?,"18th Century Brewery
",['newton ridley']
"""Which American playwright/screenwriter wrote """"The Odd Couple""""?"""," Neil Simon
","['marvin neil simon', 'neil simon']"
What is the name of Don Quixote's horse?," Rocinante
","['rosinante', 'rozinante', 'rocinante']"
The Iroquois Cup is competed for in which sport?," Ice hockey
","['baggataway', 'lacrosse player', 'lacross', 'lacrosse sport', 'lacrosse', 'baggatiway', 'indians created lacrosse', 'lacrosse players']"
"""""""Suicide Is Painless"""" Is associated with which American TV Show?"""," M*A*S*H
","['m• •s•h', 'm s h disambiguation', 'mash', 'm s h', 'mash disambiguation']"
What type of creature is a capelin?," Fish
","['🐟', 'finfish', 'marine fish', 'fishes or fish', 'fisshes', 'sick fish', 'ichthyofauna', 'fishbones', 'fishes', 'inchthyic', 'fush', 'fish vs fishes', 'fishes versus fish', 'fish proteins', 'fish or fishes', 'fish', 'fish biology', 'piscines', 'ichthyoid', 'fin fish', 'fish versus fishes', 'ichthyes', 'fish venoms', 'pisces zoology', 'fish zoology']"
"""What film, sub-titled """"The Story of Christy Brown"""", is a 1989 drama directed by Jim Sheridan and starring Daniel Day-Lewis, Ray McAnally, Brenda Fricker, Fiona Shaw, Julie Hale, Alison Whelan, Kirsten Sheridan, Declan Croghan, Eanna MacLiam, Marie Conmee and Cyril Cusack, that tells the true story of an Irishman born with cerebral palsy?"""," My Left Foot
","['my left foot', 'dr eileen cole', 'my left foot movie', 'my left foot story of christy brown', 'eileen cole', 'my left foot film']"
"""Whose epitaph is """"Si Monumentum Requiris Circumspice"""", trans. """"If you want a monument, look around""""?""","1st century Roman Emperor Hadrian
","['wren cristopher', 'christopher michael wren', 'sir christopher michael wren', 'wren christopher', 'cristopher wren', 'christopher wren', 'sir christopher wren']"
"The adjective 'pulmonary' means of, or pertaining to, which organ of the body?"," lungs
","['pulmonary gas exchange', 'pulmo sinister', 'pulmanary', 'inferior lobe', 'pulmonary surgical procedures', 'bird lung', 'lungs', 'lunged', 'superior lobe of left lung', 'alveolar sacs', 'avian lungs', 'pulmones', 'nonrespiratory functions of lungs', 'lung', 'inferior lobe of left lung', 'pulmo', 'bellows lung', 'pulmonarily', 'pulmonary', 'circulatory lung']"
Name the son of Charles and Carrie Pooter.," Charles Pooter Jr
","['lupin pooter', 'diary of nobody']"
Who had sisters named Stheno and Euryale?,"3 Gorgons
","['medusa', 'medusa cad', 'cambridge interactive systems ltd', 'medusa4', 'cambridge interactive systems']"
Which Canadian/American novelist won the Nobel Prize for Literature in 1976?,"1976 - Alice Munro
","['mosby s memoirs', 'bellovian', 'saul bellows', 'saul bellow']"
Which of the wives of Henry VIII was born on the outskirts of Dusseldorf in 1515?," Catherine of Aragon
","['anne of clèves', 'ann of cleves', 'anne of cleeves', 'queen anne of cleves', 'lady anne of cleves', 'anne of cleves', 'flanders mare', 'anne of cleve', 'anne of cleaves']"
What has been on the air longer? Jeopardy? Or Wheel of Fortune?,"15 years longer
","['jeopardy theme', 'jeopardy set evolution', 'cheryl farrell', 'jepardy', 'jeopardy in popular culture', 'jeopardy u s game show', 'jepordy', 'j archive', 'jeopardy tv series', 'jeopardy game show', 'jeapordy', 'jeopardy in culture', 'sarah whitcomb', 'jeopardy them', 'what s question 3f', 'j', 'jeopardy clue crew', 'clue crew', 'jeopardi', 'kelly miyahara', 'jeopardy theme music', 'jeopardy music', 'sofia lidskog', 'jeopardy', 'jeopardy theme songs', 'jeopardy theme song', 'jeopardy tv show', 'final jeopardy', 'jon cannon', 'time for tony']"
"The Hungarian stew, goulash is flavoured with which pepper?"," Paprika
","['smoked paprika', 'pimentao doce', 'colorau', 'pimentón', 'pimentao', 'green paprika', 'paprika', 'pimenton', 'pimentão doce', 'pimentão', 'yellow paprika', 'red paprika']"
Which standard unit of energy can be defined as the work required to continuously produce one watt of power for one second?,"1 joule
","['femtojoule', 'zettajoule', 'joule', 'kilojoule', 'joule unit', 'decijoule', 'nanojoule', 'terajoule', 'joules', 'zeptojoule', 'joule j', 'gigajoule', 'decajoule', 'yoctojoule', 'ocrajoule', 'petajoule', 'petajoules', 'zetajoule', 'exajoule', 'megajoule', 'μj', 'millijoule', 'exajoules', 'si unit of energy', 'list of converted amounts of joules', 'picojoule', 'yottajoule', 'attojoule', 'terajoules', 'kilojoules', 'centijoule', 'hectojoule']"
Who is the current Chairman of the Bank of England?," Mark Carney
","['mervyn king', 'mervyn king disambiguation']"
"Still in operation 7 years later, January 25, 2004 saw the Opportunity Rover land on what planet?"," Mars
","['fourth planet', 'mars', 'oblate mars', 'mars surface features', '4th planet', 'marte planet', '2003 opposition of mars', 'mars opposition', 'hydrology of mars', 'planet mars', 'sol e', 'opposition of mars', 'sun e', 'mars orbit', 'physical characteristics of mars', 'sol 4', 'mars planet', 'magnetosphere of mars', 'sol iv']"
Which shrub is commonly known as the 'Butterfly bush'?," Lilac
","['buddlejaceae', 'buddliea', 'buddleja', 'budleia', 'budlea', 'buddleia', 'buddlea']"
In which Paris square would you find an obelisk from the temple of Rameses II at Thebes?,"30th
","['place de la revolution', 'place de la révolution', 'place de la concorde', 'la place de la concorde', 'la fontaine des mers', 'place de la concorde paris']"
Who is the patron saint of Portugal?,"10th century Visigothic monk Saint Martin of Dume
","['sant jordi', 'george victorious', 'st george martyr', 'saint george', 'st george victorious', 'st george', 'george of lydda', 'red cross knight', 'saint george victorious', 'el khader']"
Who won the 2013 World Touring Car Championship?," Robert Huff
","['yvan muller', 'yvan müller']"
Which singer had the first names Harry Lillis?," Crosby
","['bing crosby actor', 'harry l crosby', 'bing crosby productions', 'harry lillis crosby jr', 'crosby bing', 'bing cosby', 'harry lillis crosby', 'harry crosby jr', 'bing crosby enterprises', 'bing crosby', 'harry lillis 22bing 22 crosby', 'harry lillis bing crosby', 'harry l crosby jr']"
Which fictional character lived in the village of Puddleby-on-the-Marsh?,"20,000 Leagues Under The Sea
","['doctor dolittle', 'doctor dolittle book series', 'dr doolittle', 'dr dolittle', 'doctor doolittle']"
"Which punctuation mark, used in computing, etc., is called the 'solidus'?"," /
","['solidus punctuation', '⁄', 'fraction slash', '／', 'slash punctuation', 'shilling mark', 'slash typography', 'forward slash', 'oblique stroke', 'stroke punctuation', 'forward slashes', 'virgule', 'forwardslash']"
Who was the only English player to score in the 2015 FA Cup Final?," Jamie Vardy
","['walcott t', 'theo walcott', 'melanie slade', 'theo wallcott', 'melanie walcott']"
Who played Charlie Croker in the 2003 film ‘The Italian Job’?,"50 Cent
","['mark whalberg', 'mark walhberg', 'good time gang film', 'good time gang', 'mark wahlberg youth foundation', 'marky mark', 'mark wahlberg', 'mark wahlburg', 'mark walhlberg']"
Who in 1869 arranged the 63 known elements at that time into the first modern periodic table and correctly predicted several other elements?," Dmitri Mendeleev
","['dmitri mendeleev', 'demitri mendeleev', 'dmitri mendeleef', 'mendelejeff', 'dmitri mendelev', 'dmitri i mendeleev', 'dmitri mendelejeff', 'dimitri ivanovich mendeleev', 'dmitrii mendeleev', 'dmitri ivanovich mendeleeff', 'dmitry ivanovich mendeleev', 'dmitri mendeleyev', 'dmitriy mendeleyev', 'dmitri ivanovich mendeleef', 'dmitri ivanovich mendeleyev', 'dmitri medeleev', 'mendeleev dmitry', 'dmitri mendeléev', 'dmitry ivanovich mendeleyev', 'dimitri mendeleev', 'dmitri ivanovich mendeleev', 'dmitri mendele ev', 'dmitri iwanowitsch mendelejew', 'mendeleeve', 'dmitry mendeleev', 'mendeleev', 'dmitry mendeleyev', 'dimitri mendelev', 'dmitriy mendeleev', 'mendelev']"
What collective name is given to those members of the House of Lords who are not Lords Spiritual?,"120 Crossbenchers
","['lord temporal', 'lords temporal', 'temporal peer']"
"Ricardo Montalban extolled the ""soft Corinthian leather"" in what model of car, produced from 1975 to 1983?","1975 Mercury Cougar
","['fine corinthian leather', 'chrysler cordoba']"
In Greek mythology who killed the gorgon Medusa?," Perseus
","['acrisioniades', 'perseus and pegasus', 'perseus greek mythology', 'περσεύς', 'perseus', 'περσέας', 'percius', 'persus', 'perseos', 'perseas', 'mythology perseus', 'περσέως', 'perseus mythology']"
Who played the title role in the 1962 film 'The Loneliness of the Long Distance Runner'?," Michael Caine
","['thomas daniel courtenay', 'sir thomas daniel courtenay', 'tom courtenay', 'sir tom courtenay']"
What is an eleven sided figure called,"11-gon
","['eleven gon', '11 sided figure', '11 gon', 'undecagon', 'hendecagon', 'regular hendecagon']"
A vestry is a feature of what sort of building?," Church
","['church ward', 'ecclesiastical affair', 'ecclesiastical affairs', 'church disambiguation', 'churches', 'church', 'church sign', 'tserkov']"
What is the capital of Benin?," Porto-Novo
","['capital of benin', 'porto novo', 'ajase', 'porto novo benin', 'portonovo benin']"
Who presents the ITV quiz show ‘Take on the Twisters’?,"1980s
",['julia bradbury']
Which British athlete was taking part in her sixth Summer Olympic Games when she competed in the 1996 Atlanta event?,"100m Hurdles
",['tessa sanderson']
"Who wrote 'The Carpet People', 'Hogfather', 'The Last Continent', 'Men At Arms', and 'Mote'?"," Terry Pratchett
","['terry prachett', 'terry pratchett', 'sir terry pratchett', 'terry prattchet', 'terry prachet', 'pratchett', 'terry prattcher', 'pratchettian', 'terence david john pratchett', 'terry pratchet', 'prattchett', 'terry pratchett bibliography', 'terry prattchett', 'pterry', 'terence pratchett', 'bissonomy']"
In Greek mythology who was the Muse of Tragedy?," Melpomene
","['one that is melodious', 'melpomène', 'melpomene', 'μελπομένη', 'muse of tragedy']"
St David’s Day (the Patron Saint of Wales) is celebrated during which month of the year?,"3rd March
","['march observances', 'sušec', 'march', 'month of march', 'month march', 'march month', '㋂']"
Who was wrongly convicted in 2001 of the murder of Jill Dando?,"2 men
","['barry george', 'barry bulsara']"
"True or False, The Earth and the Moon are the same age?","4.5 billion years
","['true song', 'true disambiguation', 'truer', 'true', 'true album']"
The transportation of what is performed with an Archimedes Screw?," Water
","['watery', 'h2o', 'h₂o', 'life and water', 'liquid water', 'water in biology', 'importance of water', 'water and life', 'water', 'water surface']"
In which English city is Paragon Station?," York
","['hull disambiguation', 'hull']"
What is England's tallest building,"30 St Mary Axe
","['shard london bridge', 'london bridge tower', 'shard london bridge tower', 'shard skyscraper', 'shard', 'london shard', '32 london bridge', 'shard of glass', 'shangri la london', 'shard london']"
Which Jewish holiday is also known as the Day of Atonement?,"10th of Tishrei
","['yom kippur', 'yum kippur', 'feast of atonement', 'holy day of atonement', 'jom kippur', 'erev yom kippur', 'atonement day', 'yom ha kippurim', 'yom kipur', 'yom kippor', 'day of atonement']"
Who was the most famous son of Philip of Macedon?," Alexander the Great
","['great alexander', 'alexander iii of macedon', 'μέγας ἀλέξανδρος', 'sikandar mahan', 'letter to darius ii', 'letter to darius iii', 'alexandrian empire', 'alexander great', 'aleksander great', 'sikunder', 'iskandar zulkarnain', 'aleksandar ī hrōmāyīg', 'alexander magnus', 'alexandrian era', 'aléxandros ho mégas', 'alexnader great', 'alexander of macedonia', 'alex great', 'alexanderthegreat', 'iskander accursed', 'αλέξανδρος ο μέγας', 'megas aleksandros', 'alexander graet', 'alexandros iii of macedon', 'ἀλέξανδρος ὁ μέγας', 'alexandros great', 'sikandar e azam', 'alexandrian period', 'alexander macedonian']"
"With what decade was the Dust Bowl, the period of prolonged dust storms and severe drought, in the USA and Canada mainly associated?","1930s
","['1930–1939', '30s', 'nineteen thirties', '1930 1939', 'thirties', '1930s literature', '1930s decade', '1930s', '1930 s', '6030s']"
Morrissey was the lead singer of what band?,"1980s The Smiths
","['smiths band', 'morrissey marr', 'dale hibbert', 'smith', 'smiths']"
"What name is given to a bet with four selections and comprising six doubles, four trebles and one four-fold?","6-fold
","['yankii', 'yankee ethnicity', 'yanqui', 'yankī', 'damnyankee', 'yankee union soldier', 'yankee']"
"What war was waged 1852-1856, one side being an alliance between the Ottoman Empire, UK, France, and Sardinia?","1st Italian War of Independence
","['russian war', 'war of crimea', 'crimean expedition', 'crimea war', 'cremean war', 'baltic theatre of crimean war', 'baltic campaign of 1854', 'crimean war 1853', 'oriental war', 'eastern war', 'paris peace conference 1856', 'russo turkish war 1853 1856', 'crimean war', 'russo turkish war 1853 56', 'crimean struggle', 'crim war']"
Billy the Badger is the mascot of which English football club?,"1960s
","['fulham football club 2001 squad', 'fulhamerica', 'fulham fc', 'fulham football club', 'billy badger', 'fulham f c']"
"With which sport are Rodney Eyles, Peter Nicol, Susan Devoy and Cassie Campion associated?","9-ball
","['squash', 'squash disambiguation', 'squashes']"
Which Italian fashion designer was murdered on the orders of his ex-wife?," Gianni Versace
","['gucci bag', 'house of gucci', 'gucci group', 'gucci']"
What was the name of Alexander the Great's father who ruled Macedonia between 359 and 336BC?,"359
","['philip ii disambiguation', 'philip 2', 'philip ii', 'philips ii', 'king philip ii', 'philipp ii', 'phillip ii', 'king phillip ii']"
The medical condition Herpes Zoster is commonly known as what?," Shingles
","['zoster', 'shingles', 'isotopic response', 'mandibular zoster', 'disseminated shingles', 'disseminated herpes zoster', 'zoster sine herpete', 'herpes zoster', 'trigeminal zoster', 'inflammatory skin lesions following zoster infection']"
Which semi-aquatic carnivorous mammals belong to the genus `Lutra'?," Otters
","['lutrinae', 'otters', 'otter', 'otters in popular culture', 'lutrine']"
"Named after the 16/17th century fancy collar that made a fortune for Robert Baker, which London street starts at Hyde Park Corner and ends at a famous statue ? It is the 6th most expensive property in Monopoly.","5th Avenue
","['piccadilly london', 'picadilly', 'piccadilly']"
To which major biblical event did the 'burning bush' direct Moses? The Sermon on the Mount; The Ten Commandments; Jesus' birth; or Noah's Ark?,"10 Commandments
","['deuteronomy 5', 'exodus 20 decalogue', 'decalogo', '10 laws of god', 'exodus 20', 'ten commandments rulings', 'decalogue', '10 commandments', 'deuteronomy 5 decalogue', 'ten commandments ruling', 'sinaitic revelation', '10 comandments', 'commandments of god ten commandments', 'la dekologo', 'ten commandmants', 'sinai revelation', 'ethical decalogue', 'ten words', 'decalog', 'ten comandements', 'ten commandments', 'revelation at sinai', 'aseret hadibrot', 'non occides', 'les dix commandements']"
"According to the words of the song, at what time does Burlington Bertie rise?","6am
",['ten thirty']
Stocking stitch is used in what kind of activity?," Knitting
","['knitting textiles', 'knit', 'purl stitch', 'weft knitting', 'purling', 'knitting chart', 'knits', 'knit stitch', 'purl stitch knitting', 'knitting', 'knitting symbol', 'knitted', 'weft knit']"
"In music, the B-52s were formed in which year? 1976, 1980 or 1984?","1976
","['one thousand nine hundred and seventy six', '1976']"
"Joey Bishop, who died in October 2007, was the last survivor of a group of people known by which name?","1940s comedy team
","['eee o eleven best of rat pack', 'ratpack', 'eee o 11 best of rat pack', 'rat pack', 'dean martin and frank sinatra films', 'holmby hills rat pack']"
"A known anti-oxidant and a co-factor in at least 8 enzymatic reactions, what vitamin is known as L-ascorbic acid?","2
","['kyselina askorbova', 'vitamin c', 'scorbacid', 'cebicure', 'vitamin c foundation', 'vitacimin', 'cescorbat', 'ciamin', 'cebion', 'cecon', 'ascorbicap', 'vitamisin', 'list of foods containing vitamin c', 'xitix', 'cetebe', 'cetamid', 'cetane caps td', 'antiscorbic vitamin', 'cevex', 'c long', 'cetane caps tc', 'ce lent', 'davitamon c', 'ascorbate metabolism', 'vit c', 'l ascorbate', 'cevitex', 'cee caps td', 'vitimin c', 'evolution of vitamin c', 'ascor b i d', 'cevimin', 'vitace', 'ascorbicab', 'laroscorbine', 'cantaxin', 'sodascorbate', 'ascorteal', 'cemill', 'ascorbajen', 'allercorb', 'catavin c', 'colascor', 'cantan', 'meri c', 'cemagyl', 'cewin', 'viscorin', 'ascorbutina', 'ascorvit', 'ceglion', 'planavit c', 'vitamine c', 'vitascorbol', 'cevitamin', 'cevitan', 'antiscorbutic vitamin', 'hicee', 'vicelat', 'cevatine', 'ascorbicin', 'cipca', 'vitacee', 'roscorbic', 'c vitamin', 'cereon', 'scorbu c', 'liqui cee', 'cevitamic acid', 'ido c', 'ascorb', 'secorbate', 'arco cee', 'duoscorb', 'vitamin c overdose', 'cee vite', 'cevi bid', 'vitacin', 'c quin', 'c vimin', 'ascorbin', 'cebione', 'cenolate', 'adenex', 'lemascorb', 'natrascorb', 'ascoltin', 'celaskon', 'cevalin', 'concemin', 'proscorbin', 'citriscorb', 'ascorbate', 'cegiolan', 'viforcit', 'vicin', 'vicomin c', 'cenetone', 'testascorbic', 'cetemican', 'ascorin', 'hybrin', 'c level', 'r 3 4 dihydroxy 5 s 1 2 dihydroxyethyl furan 2 5h one', 'cergona']"
Which BBC TV programme traces the family trees of celebrities?,"24 Hours in A&E
",['who do you think you are']
What is the mascot of Children in Need," Pudsey Bear
","['children in need', 'bbc children in need', 'bbc children in need appeal', 'cin', 'pudsey bear']"
How many blue stripes are on the national flag of Thailand?,"5
","['1', 'one']"
What is the first name of the Dickens character Quilp?," Samuel
","['danyel', 'דָּנִיֵּאל', 'daniel human name', 'daniel given name', 'daniyyêl', 'daniyyel', 'dániel', 'دانيال', 'doniel', 'daniel', 'daniel surname', 'daniyel', 'daniël', 'danyal', 'my judge is god', 'daniele', 'danil', 'daniel name', 'danijel', 'dāniyyêl', 'tale of aqhat', 'doniyel']"
Which Robin was the first yachtsman to sail non-stop around the world?,"1966
",['knox johnson']
Which element has the symbol Na?,"11
","['natrium', 'sodium metabolism', 'sodium compounds', 'nitrium german', 'sodanum', 'sodium mirror', 'sodium', 'sodium 23', 'liquid sodium', '7440 23 5', 'd lines', 'dietary sodium', 'na', 'na element', 'sodium ion', 'element 11']"
Spica is the brightest star in which constellation?,"100
","['virgo interferometer', 'advanced virgo', 'virgo', 'virgo physics']"
"Which BBC three-part drama was set in Pepys Rd, South London?","24 Hours in London
","['capital', 'capital disambiguation', 'capitals', 'capitala']"
Which Shakespeare play is subtitled 'All Is True'?,"2 Henry IV
","['henry viii king of england', 'king of england henry viii', 'henry viii kids', 'henry tudor viii', 'henry viii musician', 'henry duke of york', 'king henry eighth', 'henry 8th', 'king henry 8', 'henry 8', 'henry viii england', 'bluff hal', 'henry viii of ireland', 'henryviii', 'heinrich viii', 'early years of henry viii', 'henry viii s compositions', 'ehnry viii', 'king henry viii', 'henry ⅷ', 'bluff king hal', 'henry eighth', 'henry viii tudor', 'henry viii', 'my great matter', 'henry viii of england', 'king henry viii of england']"
Which chef created Melba toast and Peach Melba at the Savoy in London?," Escoffier
","['georges auguste escoffier', 'ma cuisine', 'escoffier', 'auguste escoffier', 'august escoffier', 'georges escoffier']"
During which month of the year is Oak Apple Day  (Royal Oak Day) celebrated?,"2nd August
","['month may', 'veliki traven', 'may month', 'may sickness', '㋄', 'may']"
Which post in the UK did Rowan Williams take up in February 2003?,"21st Archbishop of Canterbury
","['primate of all england', 'archbishops of canterbury', 'bishop of canterbury', 'archbishopric of canterbury', 'lord archbishop of canterbury', 'archbishop of canterbury', 'archbisop of canterbury', 'see of canterbury']"
"""Who wrote the story on which Alfred Hitchcock's 1963 film """"The Birds"""" was based?"""," Daphne du Maurier
","['daphne dumaurier', 'daphne de maurier', 'dame daphne du maurier', 'lady browning', 'du maurier daphne', 'dame daphne du maurier lady browning dbe', 'daphne du maurier', 'dame daphne du maurier lady browning']"
"Whose March 31, 1994 appearance on Late Show with David Letterman resulted in the episode becoming the most censored in American network television talk-show history for obvious reasons?"," Bill Clinton
","['madonna disambiguation', 'madonna album disambiguation', 'madonna film', 'madonna']"
In which E M Forster novel does Adela Quested travel abroad to marry magistrate Ronny Heaslip?," A Passage To India
","['narayan godbole', 'ronny heaslop', 'passage to india']"
Who was the only driver to win a F1 World Championship in a car of his own design?,"1950: Juan Manuel Fangio
","['jack brabham', 'sir jack brabham']"
"In the Lotto Thunderball draw, you choose 1 Thunderball from how many?","39
","['fourteen', '14']"
Who most famously had a horse named Copenhagen?,"1950s baseball player
","['arthur wellesly', 'marquess of torres vedras', 'major general arthur wellesley', 'first duke of wellington', 'baron douro', '1st duke of wellington', 'marquess of wellington', 'marquês de torres vedras', 'count of vimeiro', 'lord wellington', 'duke of wellingon 1st', 'arthur wellesley first duke of wellington', 'duke of wellington arthur wellesley', 'duque da vitoria', 'duke wellington', 'viscount wellington', 'duke of wellington great duke', 'marquess douro', 'earl of wellington', 'marquis of torres vedras', 'iron duke', 'duke of wellington', 'conde de vimeiro', 'general wellington', 'arthur wesley', 'arthur wellesley 1st duke of wellington', 'arthur wellesly 1st duke of wellington', 'marques de torres vedras', 'sir arthur wellesley', 'arthur wellesley wellington', 'duke of vitoria']"
"Which was the first place to host the Winter Olympics, twice?","1924 Chamonix, 1928 St. Moritz
","['st moritz switzerland', 'st moritz grisons', 'san moritz', 'st moritz', 'st moritz graubünden', 'st moritz graubuenden', 'saint moritz', 'sankt moritz', 'st moritz graubunden', 'st mortitz', 'san murezzan', 'st moritz gr']"
Who was the green skinned Egyptian God of the underworld and afterlife?,"1990s
","['osiris', 'osiris crater', 'osiris disambiguation']"
Which singer-songwriter was born on the same day as actor Billy Dee Williams?,"1943
","['merle haggard and strangers', 'merle haggard strangers', 'merle ronald haggard', 'merle haggard', 'haggard merle', 'merl haggard']"
Which comedian actor played the part of Ron Glum in the radio programme 'Take It From Here'?,"	Jack Miler
",['dick bentley']
What was the first predominantly muslim country visited by Barak Obama after becoming US president?,"2009
","['turkey', 'tuerkiye', 'türkiye respublikası', 'republic of turkiye', 'tuerkei', 'etymology of turkey', 'türkiye', 'turkiye', 'tuerkiye cumhuriyeti', 'türkiye cumhuriyeti', 'republic of turkey', 'turky', 'turkish republic', 'türkiye respublikasi', 'turquia', 'iso 3166 1 tr', 'turkey nation', 'turkia', 'terky', 'turkei', 'turkie', 'turkey state', 'türkei', 'turquie', 'turkiye cumhuriyeti', 'turkey country']"
"Which Monty Python member’s autobiography is entitled So, Anyway?","1975
","['cleese', 'john cleese actor', 'john otto cleese', 'reginald cheese', 'john cleese', 'camilla cleese', 'john marwood cleese']"
Which country imports the biggest volume of Champagne from France?," USA
","['uk mainland', 'britain island', 'great brittain', 'great britian', 'great britain s', 'island of britain', 'ile of britain', 'mainland uk', 'england scotland and wales', 'england wales and scotland', 'great britain island', 'island of great britain', 'mainland united kingdom', 'metropolitan britain', 'breatainn mhor', 'britannia major', 'gret bryton', 'great britain', 'gt brit', 'great britain gb', 'gran bretaña', 'breatainn mhòr', 'mainland britain', 'great–britain', 'british mainland', 'england and wales and scotland', 'isle of britain', 'great britian s', 'storbritannien', 'terminology of great britain', 'prydain fawr', 'grate britain']"
